"No.","Time","Source","Destination","Protocol","Length","Info"
"91916","32281.571588","192.168.0.250","174.129.236.25","HTTP","879","GET /pview?event=pview&fpc=7281473-13798be8a6f-70e0e89b-1&sessionID=1338297453167.24467&sourceURL=http%3A%2F%2Fwww.claimfans.com%2Findex.php&hostname=www.claimfans.com&location=%2Findex.php&publisher=831b48ad-05cd-416f-b05b-dd2865a6a65c&shareHash=sthash.ndmXLgn7&incomingHash=&refDomain=&refQuery=&url=http%3A%2F%2Fwww.claimfans.com%2Findex.php&sharURL=&source=share4x&title=Free%20Facebook%20Fans%20and%20Free%20Twitter%20Followers%20and%20Pinterest%20Pin%20Exchange&ts1338297453177.0= HTTP/1.1 "
"91921","32281.593647","192.168.0.250","63.217.115.112","HTTP","425","GET /button/checkOAuth.esi HTTP/1.1 "
"91926","32281.620250","192.168.0.250","184.73.185.66","HTTP","629","GET /getSegment.php?purl=http%3A%2F%2Fwww.claimfans.com%2Findex.php&jsref=&rnd=1338297453177 HTTP/1.1 "
"91961","32281.894026","192.168.0.250","200.123.198.147","HTTP","635","GET /share4x/index.46f5bc5fc0e85c1367fbe18fbd1b1792.html HTTP/1.1 "
"91980","32282.110445","192.168.0.250","200.123.198.147","HTTP","503","GET /images/spinner.gif HTTP/1.1 "
"91988","32282.164565","192.168.0.250","72.246.216.42","HTTP","531","GET /share4x/js/st.35d4aacd4fd3d345f119a441cbb45043.js HTTP/1.1 "
"92029","32282.380828","192.168.0.250","63.217.115.67","HTTP","754","GET /b?c1=7&c2=8097938&rn=1188056402&c7=http%3A%2F%2Fseg.sharethis.com%2FgetSegment.php%3Fpurl%3Dhttp%253A%252F%252Fwww.claimfans.com%252Findex.php%26jsref%3D%26rnd%3D1338297453177&c3=8097938&c8=ShareThis%20Segmenter&c9=http%3A%2F%2Fwww.claimfans.com%2Findex.php&cv=2.2&cs=js HTTP/1.1 "
"92034","32282.485846","192.168.0.250","72.246.216.42","HTTP","536","GET /share4x/css/share.3343cba76810cce7b90dcaf8d6bc2e32.css HTTP/1.1 "
"92038","32282.531575","192.168.0.250","63.217.115.67","HTTP","819","GET /b2?c1=7&c2=8097938&rn=1188056402&c7=http%3A%2F%2Fseg.sharethis.com%2FgetSegment.php%3Fpurl%3Dhttp%253A%252F%252Fwww.claimfans.com%252Findex.php%26jsref%3D%26rnd%3D1338297453177&c3=8097938&c8=ShareThis%20Segmenter&c9=http%3A%2F%2Fwww.claimfans.com%2Findex.php&cv=2.2&cs=js HTTP/1.1 "
"92064","32284.852621","192.168.0.250","205.251.133.247","HTTP","509","GET /img/ie_menu_bg.png HTTP/1.1 "
